ir,red
116959,102028
116991,102036
116997,102035
116994,102021
117014,102013
117074,102057
117088,102099
117116,102108
117106,102075
117206,102097
117256,102138
117301,102197
117340,102124
117321,102128
117359,102185
117464,102245
117512,102259
117508,102272
117514,102217
117586,102239
117656,102310
117725,102342
117774,102329
117783,102317
117829,102353
117899,102410
117954,102432
118005,102430
117994,102429
118044,102444
118151,102513
118207,102518
118189,102509
118236,102493
118260,102531
118371,102617
118399,102649
118437,102603
118418,102576
118463,102600
118530,102659
118579,102680
118604,102689
118591,102607
118640,102676
118681,102712
118751,102748
118781,102731
118778,102725
118781,102738
118861,102803
118870,102783
118884,102796
118883,102756
118945,102806
118998,102828
119032,102833
119023,102845
119002,102827
119078,102863
119136,102870
119129,102886
119146,102877
119093,102850
119179,102883
119213,102916
119216,102901
119205,102937
119231,102907
119264,102950
119333,102979
119385,103017
119390,102948
119361,102962
119388,103000
119478,103037
119496,103038
119528,103038
119473,102993
119538,103038
119583,103076
119547,103063
119500,102998
119360,102936
119238,102897
118952,102825
118693,102668
118345,102515
117947,102342
117611,102166
117264,102078
116940,101961
116700,101861
116449,101749
116306,101738
116173,101670
116010,101580
115906,101557
115781,101464
115711,101477
115662,101461
115599,101425
115516,101399
115422,101341
115463,101381
115468,101382
115479,101357
115488,101343
115410,101321
115477,101381
115535,101418
115554,101410
115601,101411
115589,101412
115675,101431
115782,101540
115781,101525
115822,101527
115857,101514
115964,101574
116033,101585
116029,101625
116074,101619
116101,101602
116134,101678
116216,101681
116267,101729
116283,101698
116258,101681
116327,101747
116364,101752
116375,101771
116389,101721
116397,101772
116490,101810
116512,101819
116579,101849
116583,101839
116618,101832
116693,101900
116781,101905
116791,101948
116838,101931
116907,101936
117025,102025
117125,102030
117179,102066
117221,102077
117277,102068
117338,102162
117386,102164
117364,102159
117330,102130
117349,102121
117419,102164
117444,102167
117357,102152
117394,102121
117342,102087
117353,102134
117317,102151
117304,102094
117247,102062
117211,102041
117242,102103
117204,102100
117168,102048
117095,102010
117063,102011
117111,102036
117080,102029
117048,101985
116998,101960
116971,101979
117039,102033
117005,102041
117000,101992
116973,101970
117000,101988
117049,102019
117068,102013
117063,102008
117010,101954
117039,102009
117129,102029
117144,102035
117171,102074
117172,102024
117180,102043
117213,102103
117263,102119
117260,102088
117284,102097
117333,102132
117390,102149
117393,102184
117402,102135
117378,102166
117447,102169
117529,102223
117529,102214
117595,102228
117561,102198
117589,102194
117674,102271
117681,102302
117707,102280
117711,102284
117750,102279
117853,102319
117827,102329
117840,102335
117865,102322
117882,102340
117980,102406
118004,102414
118005,102339
117974,102336
118006,102385
118098,102443
118099,102464
118144,102451
118127,102384
118167,102462
118223,102476
118240,102481
118230,102484
118240,102438
118236,102505
118337,102512
118355,102507
118346,102499
118301,102450
118351,102510
118425,102582
118370,102562
118403,102509
118386,102507
118453,102557
118507,102600
118520,102569
118481,102578
118503,102581
118541,102578
118590,102647
118611,102652
118627,102615
118575,102582
118640,102651
118672,102681
118694,102667
118700,102641
118674,102618
118710,102671
118746,102669
118699,102646
118679,102640
118500,102540
118434,102547
118313,102476
118050,102370
117748,102192
117394,102053
117120,101970
116838,101879
116562,101729
116291,101649
116055,101532
115955,101504
115817,101501
115652,101380
115514,101322
115376,101237
115299,101275
115231,101266
115110,101186
115065,101148
114981,101080
114988,101112
114991,101133
114999,101108
114955,101098
114917,101049
114987,101127
115052,101149
115059,101146
115052,101176
115069,101168
115175,101210
115232,101249
115259,101224
115320,101253
115313,101247
115445,101318
115498,101328
115515,101336
115537,101350
115552,101329
115642,101399
115696,101384
115730,101394
115747,101416
115745,101406
115810,101485
115856,101509
115918,101533
115908,101496
115933,101481
115997,101560
116035,101558
116071,101567
116121,101570
116109,101576
116250,101622
116318,101686
116374,101676
116440,101692
116491,101753
116653,101826
116725,101867
116773,101858
116830,101854
116891,101866
116957,101930
117024,101985
117096,101970
117059,101953
117100,101938
117128,102014
117170,102025
117165,101985
117140,101962
117126,101953
117184,102024
117188,102029
117165,102001
117149,101953
117111,101933
117179,102006
117172,101998
117163,101977
117123,101953
117104,101932
117177,101987
117152,101995
117128,102003
117104,101987
117134,102012
117218,102053
117223,102037
117218,102039
117220,101975
117228,102004
117308,102054
117325,102043
117345,102078
117352,102030
117425,102066
117446,102091
117475,102124
117484,102134
117491,102110
117574,102138
117607,102201
117669,102199
117689,102188
117710,102164
117753,102219
117872,102275
117899,102289
117950,102301
117920,102252
117964,102337
118028,102353
118068,102344
118110,102383
118118,102372
118191,102394
118245,102458
118285,102455
118287,102440
118327,102449
118385,102462
118442,102472
118481,102528
118478,102527
118462,102501
118503,102543
118617,102553
118612,102576
118629,102613
118616,102565
118708,102614
118743,102649
118759,102658
118756,102646
118763,102631
118829,102648
118886,102686
118932,102711
118924,102708
118908,102655
118993,102722
119020,102742
119044,102746
119071,102763
119084,102731
119135,102767
119149,102819
119187,102809
119169,102792
119184,102757
119245,102807
119244,102825
119300,102870
119264,102866
119268,102822
119316,102849
119341,102912
119375,102924
119400,102889
119353,102857
119406,102898
119478,102954
119451,102926
119465,102927
119481,102900
119574,102992
119605,103001
119608,102968
119650,103006
119588,102960
119720,102997
119744,103061
119762,103067
119737,103007
119710,103019
119763,103065
119795,103069
119716,103048
119669,102965
119522,102910
119379,102882
119153,102794
118783,102626
118371,102426
117977,102236
117637,102134
117235,102023
116909,101906
116639,101745
116416,101632
116299,101633
116180,101549
116009,101499
115857,101413
115772,101374
115731,101381
115659,101360
115584,101323
115502,101271
115408,101251
115444,101307
115487,101302
115458,101292
115445,101275
115397,101222
115482,101271
115534,101306
115560,101334
115550,101302
115571,101288
115659,101392
115738,101408
115730,101405
115768,101387
115776,101397
115885,101458
115929,101506
115977,101500
115935,101461
116000,101481
116061,101550
116122,101574
116132,101583
116120,101536
116156,101548
116209,101585
116241,101610
116246,101642
116230,101608
116243,101589
116367,101670
116360,101668
116434,101682
116396,101640
116506,101694
116601,101780
116634,101763
116700,101802
116694,101786
116771,101818
116863,101896
116944,101904
116961,101890
116983,101903
117021,101914
117115,101985
117093,102012
117092,101990
117089,101946
117066,101915
117136,101976
117109,101988
117058,101936
117014,101871
117020,101933
117050,101934
117018,101920
117014,101899
116940,101857
116936,101863
116939,101909
116928,101902
116883,101880
116865,101836
116856,101847
116907,101888
116904,101839
116864,101857
116830,101816
116853,101853
116928,101894
116945,101866
116917,101840
116913,101852
116954,101870
117029,101913
117020,101921
117080,101963
117031,101879
117117,101924
117174,101980
117225,101986
117264,102031
117268,101963
117327,102002
117382,102071
117436,102063
117447,102076
117440,102043
117547,102104
117584,102144
117662,102153
117672,102147
117661,102157
117750,102179
117760,102239
117816,102253
117836,102256
117828,102179
117918,102227
117979,102283
117994,102271
117954,102300
117971,102252
118045,102316
118132,102359
118113,102338
118129,102377
118123,102302
118172,102391
118236,102393
118213,102400
118231,102355
118206,102373
118305,102411
118365,102429
118336,102437
118371,102444
118353,102408
118412,102455
118447,102498
118475,102462
118464,102476
118410,102438
118484,102491
118525,102518
118541,102498
118534,102513
118503,102463
118573,102558
118577,102575
118654,102565
118658,102541
118596,102513
118691,102562
118722,102593
118728,102608
118724,102595
118710,102543
118812,102612
118843,102648
118854,102660
118870,102628
118824,102612
118927,102670
118945,102705
118968,102695
118967,102669
118945,102669
119051,102732
119093,102757
119078,102737
119025,102694
119028,102676
119032,102721
118953,102664
118801,102584
118609,102500
118296,102355
118121,102306
117803,102160
117447,102000
117075,101841
116778,101726
116565,101668
116373,101614
116175,101522
115997,101423
115843,101351
115753,101341
115689,101335
115598,101274
115499,101219
115419,101180
115453,101225
115416,101227
115359,101174
115341,101147
115327,101110
115370,101198
115422,101209
115410,101228
115451,101192
115425,101199
115552,101270
115598,101315
115645,101312
115655,101303
115707,101336
115830,101395
115854,101427
115944,101457
115925,101399
115964,101438
116112,101534
116149,101530
116180,101544
116218,101539
116251,101550
116367,101611
116385,101632
116440,101631
116440,101609
116441,101629
116561,101687
116547,101686
116622,101731
116647,101731
116684,101721
116746,101753
116825,101804
116847,101808
116870,101780
116960,101835
117074,101886
117159,101944
117230,101951
117261,101956
117337,101996
117483,102062
117544,102094
117604,102112
117596,102066
117656,102105
117739,102157
117768,102168
117735,102179
117731,102116
117766,102167
117779,102176
117814,102166
117755,102167
117727,102094
117720,102117
117769,102139
117748,102124
117703,102144
117662,102082
117668,102085
117671,102161
117693,102116
117630,102092
117568,102059
117595,102076
117685,102110
117643,102099
117634,102057
117592,102026
117632,102087
117683,102133
117698,102126
117676,102127
117653,102085
117717,102145
117767,102151
117798,102182
117802,102183
117800,102153
117842,102201
117926,102222
117920,102219
118000,102247
117980,102185
118029,102264
118090,102310
118112,102321
118113,102287
118124,102274
118189,102322
118265,102350
118283,102395
118320,102377
118281,102335
118392,102414
118438,102454
118452,102452
118492,102457
118477,102414
118545,102496
118592,102523
118590,102506
118606,102499
118638,102475
118680,102557
118738,102569
118748,102589
118760,102546
118759,102551
118835,102599
118894,102615
118867,102623
118890,102623
118886,102565
118919,102638
118962,102669
119009,102708
118992,102652
118977,102662
119044,102705
119037,102727
119108,102710
119040,102694
119051,102666
119101,102693
119181,102767
119121,102729
119106,102732
119106,102698
119184,102757
119222,102804
119220,102765
119198,102763
119142,102744
119241,102794
119254,102786
119258,102796
119260,102766
119248,102739
119289,102813
119318,102824
119338,102808
119323,102777
119298,102772
119368,102832
119405,102850
119453,102857
119374,102820
119406,102838
119488,102897
119499,102939
119509,102900
119494,102901
119479,102883
119522,102912
119562,102956
119536,102921
119468,102907
119475,102856
119483,102887
119421,102868
119314,102822
119105,102695
118851,102593
118557,102467
118267,102355
117892,102214
117494,102011
117158,101885
116892,101808
116655,101743
116392,101624
116191,101499
116023,101453
115956,101432
115802,101417
115731,101350
115584,101277
115502,101256
115508,101279
115436,101281
115365,101201
115286,101145
115288,101164
115298,101197
115303,101195
115322,101198
115272,101161
115303,101190
115399,101234
115422,101224
115423,101226
115435,101242
115475,101243
115563,101313
115624,101333
115627,101357
115659,101334
115717,101362
115819,101419
115842,101421
115895,101423
115863,101405
115965,101450
116029,101530
115997,101501
116059,101514
116050,101459
116090,101513
116161,101538
116194,101577
116190,101567
116233,101544
116257,101586
116360,101636
116411,101645
116453,101648
116468,101632
116547,101692
116631,101770
116673,101773
116754,101780
116777,101781
116848,101825
116928,101906
116963,101877
117012,101895
117001,101866
117043,101887
117101,101938
117100,101909
117070,101913
117024,101879
117050,101922
117102,101916
117032,101914
117013,101896
116963,101834
116976,101865
117025,101918
117010,101895
116936,101850
116876,101797
116938,101870
116939,101894
116944,101889
116914,101825
116849,101758
116861,101826
116953,101880
116956,101853
116895,101832
116894,101808
116961,101880
116959,101892
116983,101878
117005,101880
116999,101805
117053,101894
117103,101927
117124,101920
117149,101907
117112,101920
117180,101973
117273,102001
117288,101979
117278,101963
117303,101973
117377,102062
117465,102073
117475,102097
117457,102042
117494,102035
117531,102111
117581,102161
117663,102152
117673,102131
117652,102118
117778,102178
117833,102213
117811,102234
117896,102225
117891,102237
117953,102264
118022,102294
118045,102294
118070,102308
118089,102310
118174,102349
118202,102380
118210,102375
118260,102380
118259,102337
118346,102393
118365,102405
118363,102460
118385,102434
118400,102426
118485,102466
118485,102522
118500,102493
118535,102505
118545,102451
118603,102541
118647,102533
118655,102540
118614,102526
118642,102510
118687,102590
118785,102599
118772,102601
118728,102568
118748,102570
118832,102629
118873,102611
118861,102659
118873,102607
118862,102580
118924,102683
118981,102685
118949,102664
118982,102661
118975,102678
119070,102681
119067,102730
119087,102724
119081,102709
119103,102720
119185,102744
119214,102785
119234,102778
119202,102738
119208,102759
119296,102810
119309,102795
119296,102812
119244,102764
119240,102759
119228,102784
119107,102725
118944,102634
118640,102504
118355,102334
118129,102293
117737,102132
117389,101977
117032,101797
116728,101688
116534,101658
116295,101582
116134,101520
115966,101418
115842,101361
115770,101330
115620,101292
115535,101251
115398,101186
115390,101198
115366,101164
115290,101169
115268,101141
115199,101082
115205,101113
115229,101147
115244,101140
115280,101112
115252,101090
115283,101117
115340,101194
115380,101217
115408,101206
115363,101170
115457,101214
115549,101268
115552,101289
115618,101334
115652,101310
115692,101321
115759,101344
115806,101384
115828,101416
115837,101372
115918,101378
115933,101427
115995,101437
115991,101446
115989,101426
116045,101479
116089,101510
116109,101512
116154,101520
116141,101479
116207,101543
116287,101587
116308,101569
116310,101592
116332,101566
116449,101637
116557,101687
116604,101696
116631,101721
116684,101683
116774,101763
116868,101837
116898,101832
116926,101827
116927,101787
116983,101869
117053,101888
117046,101880
117021,101868
117004,101840
117063,101891
117082,101913
117056,101882
117054,101854
116993,101845
117020,101866
117001,101899
116987,101873
116966,101848
116898,101788
116974,101843
116942,101843
116893,101872
116890,101826
116880,101799
116901,101836
116928,101827
116908,101792
116872,101770
116858,101775
116859,101836
116934,101844
116900,101838
116944,101820
116919,101812
116977,101867
117004,101876
117024,101896
117048,101850
117044,101873
117101,101953
117184,101946
117177,101965
117193,101932
117183,101894
117277,101979
117325,101975
117360,102013
117330,101999
117362,102006
117448,102064
117473,102081
117520,102067
117496,102040
117515,102025
117588,102124
117646,102132
117650,102130
117656,102108
117687,102109
117730,102153
117793,102195
117821,102177
117836,102137
117830,102180
117897,102239
117961,102252
117979,102259
118018,102237
118036,102235
118126,102304
118157,102316
118206,102367
118218,102328
118259,102333
118336,102427
118411,102416
118424,102435
118402,102429
118452,102445
118545,102483
118550,102482
118607,102534
118604,102492
118624,102494
118731,102534
118722,102567
118763,102559
118748,102544
118723,102541
118803,102607
118884,102642
118904,102635
118856,102590
118861,102608
118956,102651
118985,102647
118998,102645
118984,102651
118977,102629
119080,102708
119077,102685
119084,102693
119072,102675
119073,102688
119114,102718
119151,102742
119156,102720
119135,102724
119187,102719
119224,102781
119264,102780
119269,102750
119225,102728
119305,102758
119332,102814
119382,102829
119379,102813
119365,102825
119370,102808
119424,102869
119432,102886
119420,102844
119340,102767
119264,102760
119123,102707
118920,102588
118626,102506
118297,102321
117910,102179
117626,102081
117271,101924
116910,101785
116597,101646
116359,101599
116229,101538
116050,101460
115888,101405
115671,101283
115594,101268
115555,101275
115464,101240
115360,101176
115258,101102
115166,101139
115175,101133
115180,101118
115095,101086
115091,101030
115103,101092
115137,101113
115119,101110
115121,101076
115087,101054
115155,101117
115202,101140
115250,101133
115273,101157
115262,101127
115313,101169
115401,101205
115429,101217
115482,101214
115444,101197
115531,101260
115593,101331
115611,101302
115622,101313
115628,101271
115682,101318
115717,101352
115721,101356
115711,101344
115741,101308
115789,101387
115830,101385
115837,101417
115848,101416
115869,101373
115935,101434
116011,101475
116038,101477
116054,101489
116093,101477
116189,101560
116267,101590
116303,101601
116349,101623
116386,101581
116460,101684
116534,101722
116605,101720
116656,101706
116624,101675
